City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nova sintra,14.8667,-24.7167,23.53,85,95,1.87,CV,1689287815
83,kingston,17.997,-76.7936,31.8,68,20,7.2,JM,1689287529
84,island harbour,50.724,-1.2758,16.85,87,100,0.89,GB,1689287815
85,margaret river,-33.95,115.0667,11.58,72,95,7.11,AU,1689287816
86,ushuaia,-54.8,-68.3,4.81,60,20,2.06,AR,1689287524
87,mahina,-17.5065,-149.489,27.87,61,40,9.77,PF,1689287816
88,mastung,29.7994,66.845,24.76,50,0,1.39,PK,1689287817
89,nantucket,41.2835,-70.0995,26.08,88,0,4.63,US,1689287705
90,san antonio de pale,-1.4014,5.6325,23.63,85,65,4.69,GQ,1689287817
91,wainwright,52.839,-110.8572,23.05,56,11,6.4,CA,1689287647
92,vorgashor,67.5833,63.95,6.04,63,2,1.92,RU,1689287818
93,uturoa,-16.7333,-151.4333,26.14,79,32,9.17,PF,1689287818
94,codrington,-38.2667,141.9667,9.46,65,100,7.87,AU,1689287818
95,basco,20.4487,121.9702,28.88,79,100,8.18,PH,1689287818
96,saint-francois,46.4154,3.9054,15.93,82,0,1.03,FR,1689287819
97,horta,38.5333,-28.6333,20.57,87,60,1.79,PT,1689287819
98,st. john's,47.5649,-52.7093,19.66,82,75,6.17,CA,1689287819
99,cheraw,34.6977,-79.8834,33.96,59,0,2.57,US,1689287819
100,bethel,41.3712,-73.414,29.47,71,0,4.12,US,1689287777
101,sitka,57.0531,-135.33,17.94,63,40,2.57,US,1689287820
102,haiku-pauwela,20.9219,-156.3051,31.01,56,20,9.26,US,1689287820
103,selfoss,63.9331,-20.9971,8.36,82,66,5.97,IS,1689287820
104,ocean city,39.2776,-74.5746,31.14,78,1,3.13,US,1689287821
105,iwon-up,40.3231,128.6553,21.18,98,100,3.57,KP,1689287822
106,puerto natales,-51.7236,-72.4875,-2.1,91,45,1.3,CL,1689287822
107,hermanus,-34.4187,19.2345,12.11,61,4,4.17,ZA,1689287823
108,atafu village,-8.5421,-172.5159,28.4,74,25,5.69,TK,1689287823
109,sivers'k,48.867,38.1001,17.89,68,3,3.34,UA,1689287824
110,rolesville,35.9232,-78.4575,34.01,59,0,3.09,US,1689287824
111,terrace,54.5163,-128.6035,26.95,34,20,2.06,CA,1689287824
112,black river,18.0264,-77.8487,30.3,66,30,5.95,JM,1689287824
113,gamba,-2.65,10.0,19.82,96,6,2.0,GA,1689287825
114,chibougamau,49.9168,-74.3659,14.79,94,100,6.17,CA,1689287825
115,ubari,26.5921,12.7805,28.57,17,0,3.51,LY,1689287825
116,portland,45.5234,-122.6762,31.63,37,20,4.12,US,1689287585
117,howard springs,-12.497,131.047,23.95,69,70,3.52,AU,1689287826
118,gaspe,48.8334,-64.4819,19.12,94,100,4.12,CA,1689287826
119,kiunga,-6.1219,141.2906,23.5,93,100,1.63,PG,1689287826
120,al jawf,29.5,38.75,30.91,15,0,2.43,SA,1689287827
121,piti village,13.4626,144.6933,29.61,82,75,4.12,GU,1689287827
122,saint-philippe,-21.3585,55.7679,19.77,89,66,5.01,RE,1689287827
123,dapa,9.7594,126.0531,28.27,74,99,3.31,PH,1689287827
124,inari,68.906,27.0288,14.11,72,100,2.0,FI,1689287769
125,zonguldak,41.25,31.8333,18.38,60,0,2.37,TR,1689287828
126,hamilton,39.1834,-84.5333,30.97,74,75,3.6,US,1689287668
127,glace bay,46.1969,-59.957,17.93,97,100,5.14,CA,1689287828
128,fort bragg,35.139,-79.006,33.44,56,0,4.63,US,1689287829
129,nova vicosa,-17.8919,-39.3719,22.89,86,4,4.84,BR,1689287688
130,san patricio,28.017,-97.5169,37.32,51,2,8.84,US,1689287829
131,hithadhoo,-0.6,73.0833,27.82,76,94,2.62,MV,1689287829
132,juneau,58.3019,-134.4197,22.28,82,75,5.14,US,1689287727
133,hastings,50.8552,0.5729,16.96,43,100,5.51,GB,1689287646
134,papao,-17.75,-149.55,27.82,71,29,9.29,PF,1689287830
135,saudarkrokur,65.7461,-19.6394,4.69,98,100,7.0,IS,1689287830
136,yurimaguas,-5.9,-76.0833,33.09,58,20,1.54,PE,1689287830
137,lucapa,-8.4192,20.7447,19.57,36,84,1.74,AO,1689287831
138,taunsa,30.7048,70.6505,36.11,35,1,3.29,PK,1689287831
